"","scientificName","temp_sd","temp_niche","precip_niche"
"1","Acanalonia servillei Spinola, 1839",2.81457411410109,18.9848057002145,160.229305820834
"2","Alcaeorrhynchus grandis (Dallas, 1851)",2.77440600496807,20.4845292774248,454.301910255938
"3","Anomala innuba (Fabricius, 1787)",4.16178885458884,17.137371141886,313.801359071828
"4","Blattella asahinai Mizukubo, 1981",3.35753476865113,20.5431857009729,409.929268610035
"5","Callistethus marginatus (Fabricius, 1792)",3.76043297648297,18.8438145093796,329.084045570379
"6","Calosoma scrutator (Fabricius, 1775)",3.42313596310852,16.2357251139033,312.109190304279
"7","Camponotus castaneus (Latreille, 1802)",2.70351447364713,14.8671381960091,168.142479126584
"8","Camponotus floridanus (Buckley, 1866)",1.5274742654138,22.1510910610742,116.335066166947
"9","Chauliodes rastricornis Rambur, 1842",5.55321612401015,12.111139517307,225.027366967559
"10","Climaciella brunnea (Say, 1824)",5.80591046276887,10.9805887291998,329.452941561826
"11","Corydalus cornutus (Linnaeus, 1758)",3.59008191526177,12.4932061140991,209.500023430073
"12","Cybister fimbriolatus (Say, 1825)",4.36706778375191,17.278472218715,303.052664561671
"13","Dichotomius carolinus (Linnaeus, 1767)",3.64512345088033,16.2763911642526,382.850577514149
"14","Dicromantispa interrupta (Say, 1825)",4.08435504499331,18.2309496703863,290.358393360428
"15","Draeculacephala inscripta Van Duzee, 1915",3.61521297776219,18.3369588851929,230.708236738472
"16","Erythroneura calycula McAtee, 1920",2.64708025072103,14.6046015158944,132.569244459863
"17","Euphoria sepulcralis (Fabricius, 1801)",4.11175634694152,18.2366388895826,264.336060265963
"18","Graminella cognita Caldwell, 1952",2.41253992918847,23.9942856924874,824.880151213221
"19","Harmonia axyridis (Pallas, 1773)",3.38960814321939,10.9607387856954,264.803339094393
"20","Hydaticus bimarginatus (Say, 1830)",2.72629463654203,19.8989362310856,232.100917636227
"21","Hydrophilus ovatus Gemminger & Harold, 1868",5.47904048717759,13.9156008062437,302.986697051399
"22","Lethocerus uhleri (Montandon, 1896)",2.77862837874417,19.0387806747899,235.222942972051
"23","Lytta polita Say, 1824",2.47606405877214,18.6787461622046,147.415611063826
"24","Mallodon dasystomum (Say, 1824)",3.22523124805164,20.382077893836,685.279305770138
"25","Megalodacne fasciata (Fabricius, 1777)",3.82685601308118,14.5644645178527,211.875959034006
"26","Melanolestes picipes (Herrich-Schaeffer, 1848)",3.39358232788108,15.7162951335785,280.824961928544
"27","Necrophila americana (Linnaeus, 1758)",3.80382800299079,9.94638718620969,185.600535245898
"28","Neoconocephalus triops (Linnaeus, 1758)",3.21043102917168,20.1006136874736,417.815717320485
"29","Neoscapteriscus borellii (Giglio-Tos, 1894)",2.1975098316369,19.6422965748366,339.65299945197
"30","Odontotaenius disjunctus (Illiger, 1800)",2.86732095567704,15.1031041002909,178.757457067154
"31","Pelidnota punctata (Linnaeus, 1758)",4.09221785940406,12.2461205605113,199.735546624183
"32","Periplaneta americana (Linnaeus, 1758)",4.550952117521,19.2936693630643,652.345131775528
"33","Phileurus truncatus (Palisot de Beauvois, 1807)",2.61350928156564,17.4828323772576,536.665503698626
"34","Phileurus valgus (Olivier, 1789)",3.79938507603675,19.6137222290039,518.459617713095
"35","Plecia nearctica Hardy, 1940",1.59085050727693,20.6013087881617,186.938070243399
"36","Prionus imbricornis Anderson, 1960",2.46058708621822,15.545602442936,210.76072994301
"37","Prionus pocularis Dalman, 1817",4.31687260982908,16.5366841062799,208.735279531533
"38","Prosapia bicincta (Say, 1830)",3.30939461663834,16.4110585029336,242.784188261434
"39","Rhiginia cruciata (Say, 1832)",3.49738750158468,13.848122915419,189.033570507408
"40","Stilpnochlora couloniana (Saussure, 1861)",1.18997160618712,21.4749542668707,100.219821640987
"41","Tabanus atratus Fabricius, 1775",5.12222578420955,14.4039020637444,244.456964908158
"42","Tylozygus bifidus (Say, 1830)",4.9893198966892,13.9746743032714,217.544814557843
"43","Tylozygus geometricus (Signoret, 1854)",4.6417090820903,17.6258756338036,815.33606703684
